T,contract,F,strike,vol,model
0.08333333333333333,May26,35.1347,31.6212,0.7072,black76
0.08333333333333333,May26,35.1347,35.1347,0.7072,black76
0.08333333333333333,May26,35.1347,36.8914,0.7072,black76
0.08333333333333333,May26,35.1347,38.554,0.689821,black76
0.08333333333333333,May26,35.1347,38.6481,0.68886,black76
0.08333333333333333,May26,35.1347,39.5265,0.65,black76
0.08333333333333333,May26,35.1347,40.5831,0.65,black76
0.08333333333333333,May26,35.1347,41.5028,0.654561,black76
0.08333333333333333,May26,35.1347,46.1127,0.676,black76
0.16666666666666666,Jun26,35.1933,31.674,0.6344,black76
0.16666666666666666,Jun26,35.1933,35.1933,0.6344,black76
0.16666666666666666,Jun26,35.1933,36.953,0.6344,black76
0.16666666666666666,Jun26,35.1933,38.7127,0.617948,black76
0.16666666666666666,Jun26,35.1933,39.5925,0.58,black76
0.16666666666666666,Jun26,35.1933,40.3384,0.58,black76
0.16666666666666666,Jun26,35.1933,41.5721,0.58,black76
0.16666666666666666,Jun26,35.1933,42.4615,0.58,black76
0.16666666666666666,Jun26,35.1933,49.9183,0.6032,black76
0.25,Jul26,35.167,31.6503,0.572,black76
0.25,Jul26,35.167,35.167,0.572,black76
0.25,Jul26,35.167,36.9254,0.572,black76
0.25,Jul26,35.167,38.6837,0.557166,black76
0.25,Jul26,35.167,39.5629,0.52,black76
0.25,Jul26,35.167,41.1813,0.52,black76
0.25,Jul26,35.167,41.5411,0.52,black76
0.25,Jul26,35.167,43.3487,0.52,black76
0.25,Jul26,35.167,51.7921,0.5408,black76
0.5,Oct26,35.0484,31.5436,0.5096,black76
0.5,Oct26,35.0484,35.0484,0.5096,black76
0.5,Oct26,35.0484,36.8008,0.5096,black76
0.5,Oct26,35.0484,38.5533,0.496384,black76
0.5,Oct26,35.0484,39.4295,0.46,black76
0.5,Oct26,35.0484,41.401,0.46,black76
0.5,Oct26,35.0484,43.7166,0.46,black76
0.5,Oct26,35.0484,46.0175,0.46,black76
0.5,Oct26,35.0484,57.5552,0.4784,black76
0.75,Jan27,36.0684,32.4616,0.468,black76
0.75,Jan27,36.0684,36.0684,0.468,black76
0.75,Jan27,36.0684,37.8718,0.468,black76
0.75,Jan27,36.0684,39.6752,0.455863,black76
0.75,Jan27,36.0684,40.5769,0.42,black76
0.75,Jan27,36.0684,42.6058,0.42,black76
0.75,Jan27,36.0684,46.787,0.42,black76
0.75,Jan27,36.0684,49.2495,0.42,black76
0.75,Jan27,36.0684,63.2942,0.4368,black76
1.0,Apr27,37.0423,33.3381,0.4472,black76
1.0,Apr27,37.0423,37.0423,0.4472,black76
1.0,Apr27,37.0423,38.8944,0.4472,black76
1.0,Apr27,37.0423,40.7465,0.435603,black76
1.0,Apr27,37.0423,41.6726,0.4,black76
1.0,Apr27,37.0423,43.7562,0.4,black76
1.0,Apr27,37.0423,49.927,0.4,black76
1.0,Apr27,37.0423,52.5548,0.4,black76
1.0,Apr27,37.0423,69.3047,0.416,black76
2.0,Apr28,37.0423,33.3381,0.4264,black76
2.0,Apr28,37.0423,37.0423,0.4264,black76
2.0,Apr28,37.0423,38.8944,0.4264,black76
2.0,Apr28,37.0423,40.7465,0.415342,black76
2.0,Apr28,37.0423,41.6726,0.38,black76
2.0,Apr28,37.0423,43.7562,0.38,black76
2.0,Apr28,37.0423,58.4189,0.38,black76
2.0,Apr28,37.0423,61.4935,0.38,black76
2.0,Apr28,37.0423,89.5148,0.3952,black76
